code,title,section,table,source
0016377,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Approach (Urinary Tract)",0,001,tables
0016378,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Approach (Bone Marrow)",0,001,tables
001637A,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Approach (Subgaleal Space)",0,001,tables
001637B,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Approach (Cerebral Cisterns)",0,001,tables
00163J0,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Approach (Nasopharynx)",0,001,tables
00163J1,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Approach (Mastoid Sinus)",0,001,tables
00163J2,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Approach (Atrium)",0,001,tables
00163J3,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Approach (Blood Vessel)",0,001,tables
00163J4,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Approach (Pleural Cavity)",0,001,tables
00163J5,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Approach (Intestine)",0,001,tables
00163J6,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Approach (Peritoneal Cavity)",0,001,tables
00163J7,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Approach (Urinary Tract)",0,001,tables
00163J8,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Approach (Bone Marrow)",0,001,tables
00163JA,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Approach (Subgaleal Space)",0,001,tables
00163JB,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Approach (Cerebral Cisterns)",0,001,tables
00163K0,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach (Nasopharynx)",0,001,tables
00163K1,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach (Mastoid Sinus)",0,001,tables
00163K2,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach (Atrium)",0,001,tables
00163K3,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach (Blood Vessel)",0,001,tables
00163K4,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach (Pleural Cavity)",0,001,tables
00163K5,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach (Intestine)",0,001,tables
00163K6,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach (Peritoneal Cavity)",0,001,tables
00163K7,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach (Urinary Tract)",0,001,tables
00163K8,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach (Bone Marrow)",0,001,tables
00163KA,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach (Subgaleal Space)",0,001,tables
00163KB,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach (Cerebral Cisterns)",0,001,tables
0016470,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Nasopharynx)",0,001,tables
0016471,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Mastoid Sinus)",0,001,tables
0016472,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Atrium)",0,001,tables
0016473,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Blood Vessel)",0,001,tables
0016474,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Pleural Cavity)",0,001,tables
0016475,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Intestine)",0,001,tables
0016476,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Peritoneal Cavity)",0,001,tables
0016477,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Urinary Tract)",0,001,tables
0016478,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Bone Marrow)",0,001,tables
001647A,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Subgaleal Space)",0,001,tables
001647B,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Cerebral Cisterns)",0,001,tables
00164J0,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach (Nasopharynx)",0,001,tables
00164J1,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach (Mastoid Sinus)",0,001,tables
00164J2,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach (Atrium)",0,001,tables
00164J3,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach (Blood Vessel)",0,001,tables
00164J4,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach (Pleural Cavity)",0,001,tables
00164J5,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach (Intestine)",0,001,tables
00164J6,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach (Peritoneal Cavity)",0,001,tables
00164J7,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach (Urinary Tract)",0,001,tables
00164J8,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach (Bone Marrow)",0,001,tables
00164JA,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach (Subgaleal Space)",0,001,tables
00164JB,"Bypass of Cerebral Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach (Cerebral Cisterns)",0,001,tables
00164K0,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Nasopharynx)",0,001,tables
00164K1,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Mastoid Sinus)",0,001,tables
00164K2,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Atrium)",0,001,tables
00164K3,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Blood Vessel)",0,001,tables
00164K4,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Pleural Cavity)",0,001,tables
00164K5,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Intestine)",0,001,tables
00164K6,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Peritoneal Cavity)",0,001,tables
00164K7,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Urinary Tract)",0,001,tables
00164K8,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Bone Marrow)",0,001,tables
00164KA,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Subgaleal Space)",0,001,tables
00164KB,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Cerebral Cisterns)",0,001,tables
00160ZB,"Bypass of Cerebral Ventricle, Open Approach (Cerebral Cisterns)",0,001,tables
00163ZB,"Bypass of Cerebral Ventricle, Percutaneous Approach (Cerebral Cisterns)",0,001,tables
00164ZB,"Bypass of Cerebral Ventricle, Percutaneous Endoscopic Approach (Cerebral Cisterns)",0,001,tables
001U072,"Bypass of Spinal Canal with Autologous Tissue Substitute, Open Approach (Atrium)",0,001,tables
001U074,"Bypass of Spinal Canal with Autologous Tissue Substitute, Open Approach (Pleural Cavity)",0,001,tables
001U076,"Bypass of Spinal Canal with Autologous Tissue Substitute, Open Approach (Peritoneal Cavity)",0,001,tables
001U077,"Bypass of Spinal Canal with Autologous Tissue Substitute, Open Approach (Urinary Tract)",0,001,tables
001U079,"Bypass of Spinal Canal with Autologous Tissue Substitute, Open Approach (Fallopian Tube)",0,001,tables
001U0J2,"Bypass of Spinal Canal with Synthetic Substitute, Open Approach (Atrium)",0,001,tables
001U0J4,"Bypass of Spinal Canal with Synthetic Substitute, Open Approach (Pleural Cavity)",0,001,tables
001U0J6,"Bypass of Spinal Canal with Synthetic Substitute, Open Approach (Peritoneal Cavity)",0,001,tables
001U0J7,"Bypass of Spinal Canal with Synthetic Substitute, Open Approach (Urinary Tract)",0,001,tables
001U0J9,"Bypass of Spinal Canal with Synthetic Substitute, Open Approach (Fallopian Tube)",0,001,tables
001U0K2,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Open Approach (Atrium)",0,001,tables
001U0K4,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Open Approach (Pleural Cavity)",0,001,tables
001U0K6,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Open Approach (Peritoneal Cavity)",0,001,tables
001U0K7,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Open Approach (Urinary Tract)",0,001,tables
001U0K9,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Open Approach (Fallopian Tube)",0,001,tables
001U372,"Bypass of Spinal Canal with Autologous Tissue Substitute, Percutaneous Approach (Atrium)",0,001,tables
001U374,"Bypass of Spinal Canal with Autologous Tissue Substitute, Percutaneous Approach (Pleural Cavity)",0,001,tables
001U376,"Bypass of Spinal Canal with Autologous Tissue Substitute, Percutaneous Approach (Peritoneal Cavity)",0,001,tables
001U377,"Bypass of Spinal Canal with Autologous Tissue Substitute, Percutaneous Approach (Urinary Tract)",0,001,tables
001U379,"Bypass of Spinal Canal with Autologous Tissue Substitute, Percutaneous Approach (Fallopian Tube)",0,001,tables
001U3J2,"Bypass of Spinal Canal with Synthetic Substitute, Percutaneous Approach (Atrium)",0,001,tables
001U3J4,"Bypass of Spinal Canal with Synthetic Substitute, Percutaneous Approach (Pleural Cavity)",0,001,tables
001U3J6,"Bypass of Spinal Canal with Synthetic Substitute, Percutaneous Approach (Peritoneal Cavity)",0,001,tables
001U3J7,"Bypass of Spinal Canal with Synthetic Substitute, Percutaneous Approach (Urinary Tract)",0,001,tables
001U3J9,"Bypass of Spinal Canal with Synthetic Substitute, Percutaneous Approach (Fallopian Tube)",0,001,tables
001U3K2,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Percutaneous Approach (Atrium)",0,001,tables
001U3K4,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Percutaneous Approach (Pleural Cavity)",0,001,tables
001U3K6,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Percutaneous Approach (Peritoneal Cavity)",0,001,tables
001U3K7,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Percutaneous Approach (Urinary Tract)",0,001,tables
001U3K9,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Percutaneous Approach (Fallopian Tube)",0,001,tables
001U472,"Bypass of Spinal Canal with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Atrium)",0,001,tables
001U474,"Bypass of Spinal Canal with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Pleural Cavity)",0,001,tables
001U476,"Bypass of Spinal Canal with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Peritoneal Cavity)",0,001,tables
001U477,"Bypass of Spinal Canal with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Urinary Tract)",0,001,tables
001U479,"Bypass of Spinal Canal with Autologous Tissue Substitute, Percutaneous Endoscopic Approach (Fallopian Tube)",0,001,tables
001U4J2,"Bypass of Spinal Canal with Synthetic Substitute, Percutaneous Endoscopic Approach (Atrium)",0,001,tables
001U4J4,"Bypass of Spinal Canal with Synthetic Substitute, Percutaneous Endoscopic Approach (Pleural Cavity)",0,001,tables
001U4J6,"Bypass of Spinal Canal with Synthetic Substitute, Percutaneous Endoscopic Approach (Peritoneal Cavity)",0,001,tables
001U4J7,"Bypass of Spinal Canal with Synthetic Substitute, Percutaneous Endoscopic Approach (Urinary Tract)",0,001,tables
001U4J9,"Bypass of Spinal Canal with Synthetic Substitute, Percutaneous Endoscopic Approach (Fallopian Tube)",0,001,tables
001U4K2,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Atrium)",0,001,tables
001U4K4,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Pleural Cavity)",0,001,tables
001U4K6,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Peritoneal Cavity)",0,001,tables
001U4K7,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Urinary Tract)",0,001,tables
001U4K9,"Bypass of Spinal Canal with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach (Fallopian Tube)",0,001,tables
0020X0Z,"Change of Drainage Device into Brain, External Approach",0,002,tables
0020XYZ,"Change of Other Device into Brain, External Approach",0,002,tables
002EX0Z,"Change of Drainage Device into Cranial Nerve, External Approach",0,002,tables
002EXYZ,"Change of Other Device into Cranial Nerve, External Approach",0,002,tables
002UX0Z,"Change of Drainage Device into Spinal Canal, External Approach",0,002,tables
002UXYZ,"Change of Other Device into Spinal Canal, External Approach",0,002,tables
00500Z3,"Destruction of Brain, Open Approach (Laser Interstitial Thermal Therapy)",0,005,tables
00500ZZ,"Destruction of Brain, Open Approach",0,005,tables
00504Z3,"Destruction of Brain, Percutaneous Endoscopic Approach (Laser Interstitial Thermal Therapy)",0,005,tables
00504ZZ,"Destruction of Brain, Percutaneous Endoscopic Approach",0,005,tables
00503Z3,"Destruction of Brain, Percutaneous Approach (Laser Interstitial Thermal Therapy)",0,005,tables
00503Z4,"Destruction of Brain, Percutaneous Approach (Stereoelectroencephalographic Radiofrequency Ablation)",0,005,tables
00503ZZ,"Destruction of Brain, Percutaneous Approach",0,005,tables
00510ZZ,"Destruction of Cerebral Meninges, Open Approach",0,005,tables
00513ZZ,"Destruction of Cerebral Meninges, Percutaneous Approach",0,005,tables
00514ZZ,"Destruction of Cerebral Meninges, Percutaneous Endoscopic Approach",0,005,tables
00520ZZ,"Destruction of Dura Mater, Open Approach",0,005,tables
00523ZZ,"Destruction of Dura Mater, Percutaneous Approach",0,005,tables
00524ZZ,"Destruction of Dura Mater, Percutaneous Endoscopic Approach",0,005,tables
00560ZZ,"Destruction of Cerebral Ventricle, Open Approach",0,005,tables
00563ZZ,"Destruction of Cerebral Ventricle, Percutaneous Approach",0,005,tables
00564ZZ,"Destruction of Cerebral Ventricle, Percutaneous Endoscopic Approach",0,005,tables
00570ZZ,"Destruction of Cerebral Hemisphere, Open Approach",0,005,tables
00573ZZ,"Destruction of Cerebral Hemisphere, Percutaneous Approach",0,005,tables
00574ZZ,"Destruction of Cerebral Hemisphere, Percutaneous Endoscopic Approach",0,005,tables
00580ZZ,"Destruction of Basal Ganglia, Open Approach",0,005,tables
00583ZZ,"Destruction of Basal Ganglia, Percutaneous Approach",0,005,tables
00584ZZ,"Destruction of Basal Ganglia, Percutaneous Endoscopic Approach",0,005,tables
00590ZZ,"Destruction of Thalamus, Open Approach",0,005,tables
00593ZZ,"Destruction of Thalamus, Percutaneous Approach",0,005,tables
00594ZZ,"Destruction of Thalamus, Percutaneous Endoscopic Approach",0,005,tables
005A0ZZ,"Destruction of Hypothalamus, Open Approach",0,005,tables
005A3ZZ,"Destruction of Hypothalamus, Percutaneous Approach",0,005,tables
005A4ZZ,"Destruction of Hypothalamus, Percutaneous Endoscopic Approach",0,005,tables
005B0ZZ,"Destruction of Pons, Open Approach",0,005,tables
005B3ZZ,"Destruction of Pons, Percutaneous Approach",0,005,tables
005B4ZZ,"Destruction of Pons, Percutaneous Endoscopic Approach",0,005,tables
005C0ZZ,"Destruction of Cerebellum, Open Approach",0,005,tables
005C3ZZ,"Destruction of Cerebellum, Percutaneous Approach",0,005,tables
005C4ZZ,"Destruction of Cerebellum, Percutaneous Endoscopic Approach",0,005,tables
005D0ZZ,"Destruction of Medulla Oblongata, Open Approach",0,005,tables
005D3ZZ,"Destruction of Medulla Oblongata, Percutaneous Approach",0,005,tables
005D4ZZ,"Destruction of Medulla Oblongata, Percutaneous Endoscopic Approach",0,005,tables
005F0ZZ,"Destruction of Olfactory Nerve, Open Approach",0,005,tables
005F3ZZ,"Destruction of Olfactory Nerve, Percutaneous Approach",0,005,tables
005F4ZZ,"Destruction of Olfactory Nerve, Percutaneous Endoscopic Approach",0,005,tables
005G0ZZ,"Destruction of Optic Nerve, Open Approach",0,005,tables
005G3ZZ,"Destruction of Optic Nerve, Percutaneous Approach",0,005,tables
005G4ZZ,"Destruction of Optic Nerve, Percutaneous Endoscopic Approach",0,005,tables
005H0ZZ,"Destruction of Oculomotor Nerve, Open Approach",0,005,tables
005H3ZZ,"Destruction of Oculomotor Nerve, Percutaneous Approach",0,005,tables
005H4ZZ,"Destruction of Oculomotor Nerve, Percutaneous Endoscopic Approach",0,005,tables
005J0ZZ,"Destruction of Trochlear Nerve, Open Approach",0,005,tables
005J3ZZ,"Destruction of Trochlear Nerve, Percutaneous Approach",0,005,tables
005J4ZZ,"Destruction of Trochlear Nerve, Percutaneous Endoscopic Approach",0,005,tables
005K0ZZ,"Destruction of Trigeminal Nerve, Open Approach",0,005,tables
005K3ZZ,"Destruction of Trigeminal Nerve, Percutaneous Approach",0,005,tables
005K4ZZ,"Destruction of Trigeminal Nerve, Percutaneous Endoscopic Approach",0,005,tables
005L0ZZ,"Destruction of Abducens Nerve, Open Approach",0,005,tables
005L3ZZ,"Destruction of Abducens Nerve, Percutaneous Approach",0,005,tables
005L4ZZ,"Destruction of Abducens Nerve, Percutaneous Endoscopic Approach",0,005,tables
005M0ZZ,"Destruction of Facial Nerve, Open Approach",0,005,tables
005M3ZZ,"Destruction of Facial Nerve, Percutaneous Approach",0,005,tables
005M4ZZ,"Destruction of Facial Nerve, Percutaneous Endoscopic Approach",0,005,tables
005N0ZZ,"Destruction of Acoustic Nerve, Open Approach",0,005,tables
005N3ZZ,"Destruction of Acoustic Nerve, Percutaneous Approach",0,005,tables
005N4ZZ,"Destruction of Acoustic Nerve, Percutaneous Endoscopic Approach",0,005,tables
005P0ZZ,"Destruction of Glossopharyngeal Nerve, Open Approach",0,005,tables
005P3ZZ,"Destruction of Glossopharyngeal Nerve, Percutaneous Approach",0,005,tables
005P4ZZ,"Destruction of Glossopharyngeal Nerve, Percutaneous Endoscopic Approach",0,005,tables
005Q0ZZ,"Destruction of Vagus Nerve, Open Approach",0,005,tables
005Q3ZZ,"Destruction of Vagus Nerve, Percutaneous Approach",0,005,tables
005Q4ZZ,"Destruction of Vagus Nerve, Percutaneous Endoscopic Approach",0,005,tables
005R0ZZ,"Destruction of Accessory Nerve, Open Approach",0,005,tables
005R3ZZ,"Destruction of Accessory Nerve, Percutaneous Approach",0,005,tables
005R4ZZ,"Destruction of Accessory Nerve, Percutaneous Endoscopic Approach",0,005,tables
005S0ZZ,"Destruction of Hypoglossal Nerve, Open Approach",0,005,tables
005S3ZZ,"Destruction of Hypoglossal Nerve, Percutaneous Approach",0,005,tables
005S4ZZ,"Destruction of Hypoglossal Nerve, Percutaneous Endoscopic Approach",0,005,tables
005T0ZZ,"Destruction of Spinal Meninges, Open Approach",0,005,tables
005T3ZZ,"Destruction of Spinal Meninges, Percutaneous Approach",0,005,tables
005T4ZZ,"Destruction of Spinal Meninges, Percutaneous Endoscopic Approach",0,005,tables
005W0Z3,"Destruction of Cervical Spinal Cord, Open Approach (Laser Interstitial Thermal Therapy)",0,005,tables
005W0ZZ,"Destruction of Cervical Spinal Cord, Open Approach",0,005,tables
005W3Z3,"Destruction of Cervical Spinal Cord, Percutaneous Approach (Laser Interstitial Thermal Therapy)",0,005,tables
005W3ZZ,"Destruction of Cervical Spinal Cord, Percutaneous Approach",0,005,tables
005W4Z3,"Destruction of Cervical Spinal Cord, Percutaneous Endoscopic Approach (Laser Interstitial Thermal Therapy)",0,005,tables
005W4ZZ,"Destruction of Cervical Spinal Cord, Percutaneous Endoscopic Approach",0,005,tables
005X0Z3,"Destruction of Thoracic Spinal Cord, Open Approach (Laser Interstitial Thermal Therapy)",0,005,tables
005X0ZZ,"Destruction of Thoracic Spinal Cord, Open Approach",0,005,tables
005X3Z3,"Destruction of Thoracic Spinal Cord, Percutaneous Approach (Laser Interstitial Thermal Therapy)",0,005,tables
005X3ZZ,"Destruction of Thoracic Spinal Cord, Percutaneous Approach",0,005,tables
005X4Z3,"Destruction of Thoracic Spinal Cord, Percutaneous Endoscopic Approach (Laser Interstitial Thermal Therapy)",0,005,tables
005X4ZZ,"Destruction of Thoracic Spinal Cord, Percutaneous Endoscopic Approach",0,005,tables
005Y0Z3,"Destruction of Lumbar Spinal Cord, Open Approach (Laser Interstitial Thermal Therapy)",0,005,tables
005Y0ZZ,"Destruction of Lumbar Spinal Cord, Open Approach",0,005,tables
005Y3Z3,"Destruction of Lumbar Spinal Cord, Percutaneous Approach (Laser Interstitial Thermal Therapy)",0,005,tables
005Y3ZZ,"Destruction of Lumbar Spinal Cord, Percutaneous Approach",0,005,tables
005Y4Z3,"Destruction of Lumbar Spinal Cord, Percutaneous Endoscopic Approach (Laser Interstitial Thermal Therapy)",0,005,tables
005Y4ZZ,"Destruction of Lumbar Spinal Cord, Percutaneous Endoscopic Approach",0,005,tables
00760ZZ,"Dilation of Cerebral Ventricle, Open Approach",0,007,tables
00763ZZ,"Dilation of Cerebral Ventricle, Percutaneous Approach",0,007,tables
00764ZZ,"Dilation of Cerebral Ventricle, Percutaneous Endoscopic Approach",0,007,tables
00800ZZ,"Division of Brain, Open Approach",0,008,tables
00803ZZ,"Division of Brain, Percutaneous Approach",0,008,tables
00804ZZ,"Division of Brain, Percutaneous Endoscopic Approach",0,008,tables
00870ZZ,"Division of Cerebral Hemisphere, Open Approach",0,008,tables
00873ZZ,"Division of Cerebral Hemisphere, Percutaneous Approach",0,008,tables
00874ZZ,"Division of Cerebral Hemisphere, Percutaneous Endoscopic Approach",0,008,tables
00880ZZ,"Division of Basal Ganglia, Open Approach",0,008,tables
00883ZZ,"Division of Basal Ganglia, Percutaneous Approach",0,008,tables
00884ZZ,"Division of Basal Ganglia, Percutaneous Endoscopic Approach",0,008,tables
008F0ZZ,"Division of Olfactory Nerve, Open Approach",0,008,tables
008F3ZZ,"Division of Olfactory Nerve, Percutaneous Approach",0,008,tables
008F4ZZ,"Division of Olfactory Nerve, Percutaneous Endoscopic Approach",0,008,tables
008G0ZZ,"Division of Optic Nerve, Open Approach",0,008,tables
008G3ZZ,"Division of Optic Nerve, Percutaneous Approach",0,008,tables
008G4ZZ,"Division of Optic Nerve, Percutaneous Endoscopic Approach",0,008,tables
008H0ZZ,"Division of Oculomotor Nerve, Open Approach",0,008,tables
008H3ZZ,"Division of Oculomotor Nerve, Percutaneous Approach",0,008,tables
